transaction_id,template_id,competencia,descricao,categoria_id,valor_previsto,valor_final,status,considerar_resumo,payment_account_id,payment_group_id,tipo_lancamento,origem
tx-2024-12-meli,tpl-meli,2024-12,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2024-12,RECORRENTE,migrado-saidas
tx-2025-01-meli,tpl-meli,2025-01,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-01,RECORRENTE,migrado-saidas
tx-2025-02-meli,tpl-meli,2025-02,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-02,RECORRENTE,migrado-saidas
tx-2025-03-meli,tpl-meli,2025-03,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-03,RECORRENTE,migrado-saidas
tx-2025-04-meli,tpl-meli,2025-04,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-04,RECORRENTE,migrado-saidas
tx-2025-05-meli,tpl-meli,2025-05,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-05,RECORRENTE,migrado-saidas
tx-2025-06-meli,tpl-meli,2025-06,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-06,RECORRENTE,migrado-saidas
tx-2025-07-meli,tpl-meli,2025-07,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-07,RECORRENTE,migrado-saidas
tx-2025-08-meli,tpl-meli,2025-08,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-08,RECORRENTE,migrado-saidas
tx-2025-09-meli,tpl-meli,2025-09,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-09,RECORRENTE,migrado-saidas
tx-2025-10-meli,tpl-meli,2025-10,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-10,RECORRENTE,migrado-saidas
tx-2025-11-meli,tpl-meli,2025-11,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-11,RECORRENTE,migrado-saidas
tx-2025-12-meli,tpl-meli,2025-12,Meli+,cat-netflix,"27,9","27,9",PAGO,FALSE,acc-credito,fat-credito-2025-12,RECORRENTE,migrado-saidas
tx-2026-01-meli,tpl-meli,2026-01,Meli+,cat-netflix,"19,9","19,9",PAGO,FALSE,acc-credito,fat-credito-2026-01,RECORRENTE,migrado-saidas
tx-2026-02-meli,tpl-meli,2026-02,Meli+,cat-netflix,"19,9","19,9",PAGO,FALSE,acc-credito,fat-credito-2026-02,RECORRENTE,migrado-saidas
tx-2026-03-meli,tpl-meli,2026-03,Meli+,cat-netflix,"19,9","19,9",PAGO,FALSE,acc-credito,fat-credito-2026-03,RECORRENTE,migrado-saidas
tx-2026-04-meli,tpl-meli,2026-04,Meli+,cat-netflix,"19,9","19,9",PAGO,FALSE,acc-credito,fat-credito-2026-04,RECORRENTE,migrado-saidas
tx-2026-05-meli,tpl-meli,2026-05,Meli+,cat-netflix,"19,9","19,9",PAGO,FALSE,acc-credito,fat-credito-2026-05,RECORRENTE,migrado-saidas
tx-2026-06-meli,tpl-meli,2026-06,Meli+,cat-netflix,"19,9","19,9",PAGO,FALSE,acc-credito,fat-credito-2026-06,RECORRENTE,migrado-saidas
tx-2026-07-meli,tpl-meli,2026-07,Meli+,cat-netflix,"19,9","19,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-07,RECORRENTE,migrado-saidas
tx-2026-08-meli,tpl-meli,2026-08,Meli+,cat-netflix,"19,9","19,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-08,RECORRENTE,migrado-saidas
tx-2026-09-meli,tpl-meli,2026-09,Meli+,cat-netflix,"19,9","19,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-09,RECORRENTE,migrado-saidas
tx-2026-10-meli,tpl-meli,2026-10,Meli+,cat-netflix,"19,9","19,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-10,RECORRENTE,migrado-saidas
tx-2026-11-meli,tpl-meli,2026-11,Meli+,cat-netflix,"19,9","19,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-11,RECORRENTE,migrado-saidas
tx-2026-12-meli,tpl-meli,2026-12,Meli+,cat-netflix,"19,9","19,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-12,RECORRENTE,migrado-saidas
tx-2024-07-crunchyroll,tpl-crunchyroll,2024-07,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2024-07,RECORRENTE,migrado-saidas
tx-2024-08-crunchyroll,tpl-crunchyroll,2024-08,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2024-08,RECORRENTE,migrado-saidas
tx-2024-09-crunchyroll,tpl-crunchyroll,2024-09,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2024-09,RECORRENTE,migrado-saidas
tx-2024-10-crunchyroll,tpl-crunchyroll,2024-10,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2024-10,RECORRENTE,migrado-saidas
tx-2024-11-crunchyroll,tpl-crunchyroll,2024-11,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2024-11,RECORRENTE,migrado-saidas
tx-2024-12-crunchyroll,tpl-crunchyroll,2024-12,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2024-12,RECORRENTE,migrado-saidas
tx-2025-01-crunchyroll,tpl-crunchyroll,2025-01,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2025-01,RECORRENTE,migrado-saidas
tx-2025-02-crunchyroll,tpl-crunchyroll,2025-02,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2025-02,RECORRENTE,migrado-saidas
tx-2025-03-crunchyroll,tpl-crunchyroll,2025-03,Crunchyroll,cat-meli,"14,99","14,99",IGNORADO,FALSE,acc-credito,fat-credito-2025-03,RECORRENTE,migrado-saidas
tx-2025-04-crunchyroll,tpl-crunchyroll,2025-04,Crunchyroll,cat-meli,"14,99","14,99",IGNORADO,FALSE,acc-credito,fat-credito-2025-04,RECORRENTE,migrado-saidas
tx-2025-05-crunchyroll,tpl-crunchyroll,2025-05,Crunchyroll,cat-meli,"14,99","14,99",IGNORADO,FALSE,acc-credito,fat-credito-2025-05,RECORRENTE,migrado-saidas
tx-2025-06-crunchyroll,tpl-crunchyroll,2025-06,Crunchyroll,cat-meli,"14,99","14,99",IGNORADO,FALSE,acc-credito,fat-credito-2025-06,RECORRENTE,migrado-saidas
tx-2025-07-crunchyroll,tpl-crunchyroll,2025-07,Crunchyroll,cat-meli,"14,99","14,99",IGNORADO,FALSE,acc-credito,fat-credito-2025-07,RECORRENTE,migrado-saidas
tx-2025-08-crunchyroll,tpl-crunchyroll,2025-08,Crunchyroll,cat-meli,"14,99","14,99",IGNORADO,FALSE,acc-credito,fat-credito-2025-08,RECORRENTE,migrado-saidas
tx-2025-09-crunchyroll,tpl-crunchyroll,2025-09,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2025-09,RECORRENTE,migrado-saidas
tx-2025-10-crunchyroll,tpl-crunchyroll,2025-10,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2025-10,RECORRENTE,migrado-saidas
